Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain,Rain_Binary,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Irrigation_Needed
23.72033759818312,89.59264065174611,7.335604391040214,50.50169383291316,1032.378758690279,rain,1.0,26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,No
27.879734159310487,46.48970403534824,5.952483593282764,4.990052927536981,992.6141895121405,no rain,0.0,29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP,No
25.06908440179109,83.07284289257146,1.3719918180799209,14.855783939243429,1007.2316201172738,no rain,0.0,34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14,No
23.622079574922424,74.36775792086564,7.050550632784658,67.25528206034686,982.6320127095368,rain,1.0,32.0,62.0,34.0,Red,Tobacco,22,0,20,28-28,No
20.591369983472617,96.85882241307948,4.6439209259534975,47.67644427890656,980.8251417426508,no rain,0.0,28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea,No
26.147352826666403,48.21726041042326,15.258546760433369,59.76627863227763,1049.738751014439,no rain,0.0,26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17,No
20.939680281567316,40.79944443606025,2.2325659971252265,45.82750842102168,1014.1737660638806,no rain,0.0,25.0,50.0,64.0,Red,Cotton,9,0,10,20-20,No
32.29432501955199,51.848471069719,2.873620839084101,92.5514972525134,1006.0417334780344,no rain,0.0,33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,No
34.09156901252573,48.05711447385431,5.570206017562278,82.52487276907972,993.7320466194784,no rain,0.0,30.0,60.0,42.0,Sandy,Millets,21,0,18,28-28,No
19.58603797064444,82.9782932331459,5.760536586706103,98.0144498972855,1036.5034571561982,rain,1.0,29.0,58.0,33.0,Black,Oil seeds,9,7,30,14-35-14,No
29.79312595206661,81.31765126927587,16.92609873392226,93.92329417135517,1029.4026903671104,no rain,0.0,27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,Yes
23.22237299382261,76.87794305987336,15.825673129009743,72.86978986682412,980.1089338550744,rain,1.0,31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17,No
24.201114027348307,45.14653801209415,11.572712664104507,5.25304210213815,1033.9858671128163,no rain,0.0,25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,No
33.139915957316525,90.32647652073628,5.771773577200932,99.91017766569732,987.8037921605496,no rain,0.0,32.0,62.0,41.0,Clayey,Paddy,24,0,22,28-28,No
11.775901454947174,96.96000891012494,6.377567064219846,47.33186956586549,1046.4042876128824,no rain,0.0,26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP,No
12.178232492538518,67.21240726760512,11.844365499652891,6.099703563643343,1003.2915258768854,no rain,0.0,31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17,No
10.505459936008142,75.45609114405701,14.79733117529648,99.14233105026427,1011.5771942728558,rain,1.0,33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,No
30.81549613869845,65.04844693143934,7.681961102168988,57.03767176214433,980.3486633971628,no rain,0.0,25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28,Yes
29.453918773746263,49.84904005718227,10.191240572887503,45.90040227489703,1037.707488191113,no rain,0.0,28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,No
31.75030370617048,50.03033227976229,17.76066273065388,1.978943083306328,1001.5717777961166,no rain,0.0,29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,No
34.4654585558191,51.93943659144392,12.995817134168616,42.84011694565088,1018.9512813318612,no rain,0.0,30.0,60.0,44.0,Sandy,Millets,10,0,9,20-20,No
29.97896410541809,43.359500291490775,10.711002640838,18.32707471881192,1044.8620557941772,no rain,0.0,34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17,No
